2,BURG-90Z,BURGLARY - POSSESS BURGLARY TOOLS,4/10/25,1115,6500 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1115,6500 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
1,SUSP-1,SUSPICIOUS - EVENT,4/10/25,1200,2900 SUTTON RD,VIENNA,VA,22181
2,SERV-45,SRO RELATED EVENT,4/10/25,1200,2900 SUTTON RD,VIENNA,VA,22181
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,4/10/25,1137,5900 RICHMOND HWY,ALEXANDRIA,VA,22303
1,DEST-290-7,DESTRUCTION - GRAFFITI,4/10/25,1107,7900 AUDUBON AVE,ALEXANDRIA,VA,22306
1,BURG-220-3,BURGLARY/BREAKING AND ENTERING,4/10/25,1143,9200 HEATHER RIDGE CT,LORTON,VA,22079
1,SERV-39,SERVICE - AVI THREAT SCHOOL,4/10/25,1230,9200 BURKE LAKE RD,BURKE,VA,22015
2,SERV-45,SRO RELATED EVENT,4/10/25,1230,9200 BURKE LAKE RD,BURKE,VA,22015
1,SERV-29,SERVICE - DOMESTIC DISPUTE,4/10/25,1137,3400 SPRING LN,FALLS CHURCH,VA,22041
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,4/10/25,1229,8200 RUSSELL RD,ALEXANDRIA,VA,22309
1,SUSP-2,SUSPICIOUS - PERSON,4/10/25,1148, KIRBY RD / OLD CHESTERBROOK RD,MCLEAN,VA,22101
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1245,6200 SEVEN CORNERS CTR,FALLS CHURCH,VA,22044
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,4/10/25,1213,6500 COLUMBIA PIKE,ANNANDALE,VA,22003
2,ANML-90Z-2,ANIMAL - RABIES CERTIFICATE VIOLATION,4/10/25,1213,6500 COLUMBIA PIKE,ANNANDALE,VA,22003
3,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,4/10/25,1213,6500 COLUMBIA PIKE,ANNANDALE,VA,22003
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1259,9000 WHITE SPRUCE WAY,LORTON,VA,22079
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,1328,2900 SUTTON RD,VIENNA,VA,22181
2,SERV-45,SRO RELATED EVENT,4/10/25,1328,2900 SUTTON RD,VIENNA,VA,22181
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1241,1800 CAMERON GLEN DR,RESTON,VA,20190
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,4/10/25,1318, DOLLEY MADISON BLVD / SCOTTS CROSSING RD,MCLEAN,VA,22102
1,ASSLT-13C-3,THREATS - TELEPHONE THREATS/ABUSE/OBSCENE,4/10/25,1248,8500 HYMAN WAY,ALEXANDRIA,VA,22309
1,ANML-90Z-7,ANIMAL - OTHER ANIMAL CODE VIOLATION,4/10/25,1310,10800 CROSS SCHOOL RD,RESTON,VA,20191
1,DEST-290-6,DESTRUCTION - OTHER,4/10/25,915,8300 GREENSBORO DR,MCLEAN,VA,22102
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,4/10/25,1326,3000 BEECHWOOD LN,FALLS CHURCH,VA,22042
2,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,4/10/25,1326,3000 BEECHWOOD LN,FALLS CHURCH,VA,22042
1,PUB-90Z-6,PUBLIC SAFETY - OBSTRUCTION OF JUSTICE,4/10/25,1406,12000 EDGEMERE CIR,RESTON,VA,20190
2,WARR-90Z-4,WARRANT - WARRANT SERVICE,4/10/25,1406,12000 EDGEMERE CIR,RESTON,VA,20190
